index_name,index_key,csv_path,mirror_file,on_mirror,family,members_at_harvest
Nifty Total Market Momentum Quality 50,IDX:NIFTYTOTALMARKETMOMENTUMQUALITY50,ind_niftyTotalMarketMomentumQuality50_list.csv,ind_niftyTotalMarketMomentumQuality50_list.csv,yes,strategy,50
Nifty Transportation & Logistics,IDX:NIFTYTRANSPORTATION&LOGISTICS,ind_niftyTransportationandLogistics_list.csv,ind_niftyTransportationandLogistics_list.csv,no,thematic,30
Nifty Waves,IDX:NIFTYWAVES,ind_niftyWaves_list.csv,ind_niftyWaves_list.csv,no,thematic,43
NIFTY100 Alpha 30,IDX:NIFTY100ALPHA30,ind_nifty100Alpha30list.csv,ind_nifty100Alpha30list.csv,yes,strategy,30
Nifty100 Equal Weight,IDX:NIFTY100EQUALWEIGHT,ind_nifty100list.csv,ind_nifty100list.csv,yes,broad,100
Nifty100 Liquid 15,IDX:NIFTY100LIQUID15,ind_Nifty100_Liquid15.csv,ind_Nifty100_Liquid15.csv,yes,thematic,15
Nifty100 Low Volatility 30,IDX:NIFTY100LOWVOLATILITY30,ind_Nifty100LowVolatility30list.csv,ind_Nifty100LowVolatility30list.csv,yes,strategy,30
NIFTY100 Quality 30,IDX:NIFTY100QUALITY30,ind_nifty100Quality30list.csv,ind_nifty100Quality30list.csv,yes,strategy,30
Nifty200 Alpha 30,IDX:NIFTY200ALPHA30,ind_nifty200alpha30_list.csv,ind_nifty200alpha30_list.csv,yes,strategy,30
Nifty200 Momentum 30,IDX:NIFTY200MOMENTUM30,ind_nifty200Momentum30_list.csv,ind_nifty200Momentum30_list.csv,yes,strategy,30
NIFTY200 Quality 30,IDX:NIFTY200QUALITY30,ind_nifty200Quality30_list.csv,ind_nifty200Quality30_list.csv,yes,strategy,30
Nifty200 Value 30,IDX:NIFTY200VALUE30,ind_nifty200Value30_list.csv,ind_nifty200Value30_list.csv,yes,strategy,30
NIFTY50 Equal Weight,IDX:NIFTY50EQUALWEIGHT,ind_Nifty50EqualWeight.csv,ind_Nifty50EqualWeight.csv,yes,strategy,50
Nifty50 Value 20,IDX:NIFTY50VALUE20,ind_Nifty50_Value20.csv,ind_Nifty50_Value20.csv,yes,strategy,20
Nifty500 Ahimsa,IDX:NIFTY500AHIMSA,ind_nifty500Ahimsa_list.csv,ind_nifty500Ahimsa_list.csv,no,thematic,326
Nifty500 Equal Weight,IDX:NIFTY500EQUALWEIGHT,ind_nifty500EqualWeight_list.csv,ind_nifty500EqualWeight_list.csv,yes,strategy,500
Nifty500 Flexicap Quality 30,IDX:NIFTY500FLEXICAPQUALITY30,ind_nifty500FlexicapQuality30_list.csv,ind_nifty500FlexicapQuality30_list.csv,yes,strategy,30
Nifty500 Healthcare,IDX:NIFTY500HEALTHCARE,ind_nifty500Healthcare_list.csv,ind_nifty500Healthcare_list.csv,no,sectoral,48
Nifty500 LargeMidSmall Equal-Cap Weighted,IDX:NIFTY500LARGEMIDSMALLEQUAL-CAPWEIGHTED,ind_nifty500LargeMidSmallEqualCapWeighted_list.csv,ind_nifty500LargeMidSmallEqualCapWeighted_list.csv,yes,broad,500
Nifty500 Low Volatility 50,IDX:NIFTY500LOWVOLATILITY50,ind_nifty500LowVolatility50_list.csv,ind_nifty500LowVolatility50_list.csv,yes,strategy,50
Nifty500 Momentum 50,IDX:NIFTY500MOMENTUM50,ind_nifty500Momentum50_list.csv,ind_nifty500Momentum50_list.csv,yes,strategy,50
Nifty500 Multicap 50:25:25,IDX:NIFTY500MULTICAP50:25:25,ind_nifty500Multicap502525_list.csv,ind_nifty500Multicap502525_list.csv,yes,broad,500
Nifty500 Multicap India Manufacturing 50:30:20,IDX:NIFTY500MULTICAPINDIAMANUFACTURING50:30:20,ind_nifty500MulticapIndiaManufacturing503020_list.csv,ind_nifty500MulticapIndiaManufacturing503020_list.csv,yes,thematic,75
Nifty500 Multicap Infrastructure 50:30:20,IDX:NIFTY500MULTICAPINFRASTRUCTURE50:30:20,ind_nifty500MulticapInfrastructure503020_list.csv,ind_nifty500MulticapInfrastructure503020_list.csv,yes,thematic,75
Nifty500 Multicap Momentum Quality 50,IDX:NIFTY500MULTICAPMOMENTUMQUALITY50,ind_nifty500MulticapMomentumQuality50_list.csv,ind_nifty500MulticapMomentumQuality50_list.csv,yes,strategy,50
Nifty500 Multifactor MQVLv 50,IDX:NIFTY500MULTIFACTORMQVLV50,ind_nifty500MultifactorMQVLv50_list.csv,ind_nifty500MultifactorMQVLv50_list.csv,yes,strategy,50
Nifty500 Quality 50,IDX:NIFTY500QUALITY50,ind_nifty500Quality50_list.csv,ind_nifty500Quality50_list.csv,yes,strategy,50
NIFTY500 Value 50,IDX:NIFTY500VALUE50,ind_nifty500Value50_list.csv,ind_nifty500Value50_list.csv,yes,strategy,50
