instrument_key,symbol,sector,industry,basic_industry
INE0V3T01017,JIVIAL,Metals & Mining,Non - Ferrous Metals,Aluminium
INE0ZK601013,CSM,Information Technology,IT - Software,Computers - Software & Consulting
INE0RBX01014,CRAZY,Fast Moving Consumer Goods,Food Products,Packaged Foods
INE2FMX01012,AASTHA,Textiles,Textiles & Apparels,Other Textile Products
INE1SME01017,ADON,Fast Moving Consumer Goods,Food Products,Other Food Products
INE147701010,SILL,Services,Transport Services,Logistics Solution Provider
INE1L0M01019,KRATIKAL,Information Technology,IT - Software,Computers - Software & Consulting
INE226801012,ATHARVA,Consumer Durables,Consumer Durables,Plastic Products - Consumer
INE1EVO01017,SEEMAX,Capital Goods,"Agricultural, Commercial & Construction Vehicles","Dealers-Commercial Vehicles, Tractors, Construction Vehicles"
INE17QZ01016,KNACK,Capital Goods,Industrial Products,Packaging
INF346A01034,SENSEXIETF,Financial Services,Capital Markets,Mutual Fund Scheme - ETF
IN9623B01058,FELDVR,Consumer Services,Retailing,Diversified Retail
IN9175A01010,JISLDVREQS,Capital Goods,Industrial Products,Plastic Products - Industrial
INE224E01036,GATECHDVR,Financial Services,Finance,Other Financial Services
INE036D01028,KARURVYSYA,Financial Services,Banks,Private Sector Bank
INE484C01030,VEEDOL,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants
INE098F01031,AMRUTANJAN,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE445C01015,XPROINDIA,Capital Goods,Industrial Products,Packaging
INE598C01011,HISARMETAL,Capital Goods,Industrial Products,Iron & Steel Products
INE838B01021,BHARATRAS,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
INE962C01035,EASTSILK,Textiles,Textiles & Apparels,Other Textile Products
INE188A01015,FACT,Chemicals,Fertilizers & Agrochemicals,Fertilizers
INE424C01010,GINNIFILA,Textiles,Textiles & Apparels,Other Textile Products
INE147A01011,SPIC,Chemicals,Fertilizers & Agrochemicals,Fertilizers
INE244A01016,DENORA,Capital Goods,Industrial Products,Electrodes & Refractories
INE641C01019,KAVDEFENCE,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
INE667G01023,SAKSOFT,Information Technology,IT - Software,Computers - Software & Consulting
INE498E01010,SALONA,Textiles,Textiles & Apparels,Other Textile Products
INE217G01035,EQUIPPP,Information Technology,IT - Software,Computers - Software & Consulting
INE715B01021,ANDHRSUGAR,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
INE547E01014,IMPAL,Automobile and Auto Components,Auto Components,Trading - Auto Components
INE805C01028,KCP,Construction Materials,Cement & Cement Products,Cement & Cement Products
INE731C01018,KHAITANLTD,Consumer Durables,Consumer Durables,Consumer Electronics
INE874F01027,RADAAN,"Media, Entertainment & Publication",Entertainment,Media & Entertainment
INE660A01013,SUNDARMFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
INE073D01013,SUNDRMBRAK,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE715A01015,WHEELS,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE112F01022,LAMBODHARA,Textiles,Textiles & Apparels,Other Textile Products
INE683C01011,MAITHANALL,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese
INE725E01024,ORISSAMINE,Metals & Mining,Minerals & Mining,Industrial Minerals
